tabname,fieldname,position,keyflag,rollname,domname,datatype,leng,decimals,notnull,checktable,reftable,reffield,ddtext
/BA1/HFSPD,/BA1/LOC_CURR,156,,,,CUKY,5,0,,,,, Local Currency
/BA1/HFSPD,/BA1/K5SAMAC1,157,,,,CURR,15,2,,,,, Amount in Additional Currency 1
/BA1/HFSPD,/BA1/K5SAMAC1C,158,,,,CUKY,5,0,,,,, Additional Currency 1
/BA1/HFSPD,/BA1/K5SAMAC2,159,,,,CURR,15,2,,,,, Amount in Additional Currency 2
/BA1/HFSPD,/BA1/K5SAMAC2C,160,,,,CUKY,5,0,,,,, Additional Currency 2
/BA1/HFSPD,/BA1/K5SAMAC3,161,,,,CURR,15,2,,,,, Amount in Additional Currency 3
/BA1/HFSPD,/BA1/K5SAMAC3C,162,,,,CUKY,5,0,,,,, Additional Currency 3
/BA1/HFSPD,/BA1/K5SAMAC4,163,,,,CURR,15,2,,,,, Amount in Additional Currency 4
/BA1/HFSPD,/BA1/K5SAMAC4C,164,,,,CUKY,5,0,,,,, Additional Currency 4
/BA1/HFSPD,/BA1/K5STAXBO,165,,,,CURR,15,2,,,,, Tax Base Amount (Transaction Currency)
/BA1/HFSPD,/BA1/K5STAXBR,166,,,,CURR,15,2,,,,, Tax Base Amount (Functional Currency)
/BA1/HFSPD,DUMMY_SLDOC_ITM_PROCCHAR,167,,,,CHAR,1,0,,,,, Dummy function in length 1
/BA1/HFSPD,/BA1/C55ACCPR,168,,,,CHAR,4,0,,,,, Accounting Principle
/BA1/HFSPD,/BA1/C55LOTID,169,,,,CHAR,20,0,,,,, Lot ID
/BA1/HFSPD,/BA1/C55COVSPS,170,,,,DATS,8,0,,,,, Coverage Subperiod Start Date
/BA1/HFSPD,/BA1/C55CORIND,171,,,,CHAR,2,0,,,,, Payment Category
/BA1/HFSPD,/BA1/C55MODCAT,172,,,,CHAR,2,0,,,,, Modification Category
/BA1/HFSPD,/BA1/C55ALST,173,,,,CHAR,2,0,,,,, AS Asset/Liability Status
/BA1/HFSPD,/BA1/C55HOLDCT,174,,,,CHAR,4,0,,,,, AS Classification for Financial Products
